Key,CenterX,CenterY,Radius,Shape
1,553,632,152,0
2,643,814,99,0
3,1055,264,118,0
4,863,206,99,0
5,1017,253,108,0
6,1062,550,99,2
7,924,393,242,0
8,1012,37,96,1
9,930,245,186,0
10,858,758,192,0
11,697,522,114,2
12,756,641,94,2
13,636,848,144,0
14,832,338,223,0
15,626,106,106,2
16,675,403,99,1
17,603,531,103,2
18,605,377,91,1
19,533,16,100,0
20,880,114,162,0
21,618,666,92,1
22,1029,447,93,2
23,742,788,108,2
24,861,378,98,2
25,902,541,204,0
26,570,325,113,0
27,676,833,157,0
28,794,18,95,0
29,571,397,112,2
30,777,524,116,2
31,646,852,108,2
32,629,453,96,0
33,581,236,113,1
34,918,681,173,0
35,721,155,90,0
36,924,165,102,1
37,798,350,116,0
38,552,440,115,0
39,741,148,120,0
40,1064,121,95,0
41,760,661,105,2
42,610,72,111,1
43,542,651,103,1
44,800,92,116,0
45,1002,736,111,2
46,874,342,111,0
