Key,CenterX,CenterY,Radius,Shape
1,948,831,111,2
2,439,720,113,0
3,1464,766,141,0
4,602,750,191,0
5,1243,718,96,2
6,1142,616,105,0
7,220,654,94,1
8,1073,853,99,2
9,88,755,97,1
10,911,655,94,0
11,1200,668,99,0
12,701,650,93,2
13,1022,726,100,2
14,1297,854,110,1
15,1106,861,99,0
16,227,864,92,2
17,665,714,199,0
18,1481,841,165,0
19,1384,777,254,0
20,45,757,150,0
21,1074,832,116,2
22,1236,785,104,1
23,1063,674,97,2
24,875,649,106,0
25,1185,748,109,0
26,1132,626,106,2
27,994,716,176,0
28,152,716,94,0
29,86,857,119,2
30,394,842,100,0
31,542,750,190,0
32,1467,671,114,2
33,138,720,177,0
34,901,884,108,2
35,1365,863,120,0
36,1525,744,114,1
37,1475,849,102,0
38,1086,786,117,2
39,1340,696,115,2
40,1270,661,109,2
41,520,697,113,2
42,1474,642,102,0
43,68,866,118,0
44,1144,624,103,2
