Key,CenterX,CenterY,Radius,Shape
1,1586,527,95,0
2,394,415,146,0
3,596,396,99,2
4,577,435,102,2
5,1397,422,147,0
6,514,576,96,2
7,223,593,94,1
8,898,496,194,0
9,1263,416,93,2
10,129,442,115,0
11,1456,412,97,1
12,669,505,104,1
13,958,356,182,0
14,248,335,147,0
15,138,594,102,2
16,222,479,130,0
17,1191,400,112,2
18,1318,335,104,1
19,1153,378,109,0
20,1577,543,94,0
21,174,428,161,0
22,1483,432,113,2
23,486,487,216,0
24,145,438,105,0
25,67,520,94,0
26,1204,533,134,0
27,241,352,112,2
28,1339,508,101,0
29,795,302,110,2
30,301,463,107,0
31,141,466,105,2
32,1448,419,148,0
33,1138,413,117,1
34,315,363,102,2
35,97,479,96,0
36,423,413,96,2
37,872,576,116,1
38,286,571,105,2
39,378,398,94,1
40,467,306,93,0
41,603,403,169,0
42,1156,570,112,0
